"","shockfreq","impact","duration","span","lifem","copies","lost midmean","median","Nreps"
"155",50000,50,20000,2,30,4,0.181818181818182,0,21
"156",50000,50,20000,2,30,5,0,0,21
"157",50000,50,20000,2,50,2,1095.63636363636,211,21
"158",50000,50,20000,2,50,3,13,2,21
"159",50000,50,20000,2,50,4,0,0,21
"160",50000,50,20000,2,50,5,0,0,21
"161",50000,50,20000,2,100,2,2817.72727272727,144,21
"162",50000,50,20000,2,100,3,2.54545454545455,1,21
"163",50000,50,20000,2,100,4,0,0,21
"164",50000,50,20000,2,100,5,0,0,21
"165",50000,50,20000,2,200,2,956.181818181818,54,21
"166",50000,50,20000,2,200,3,4,0,21
"167",50000,50,20000,2,200,4,0,0,21
"168",50000,50,20000,2,200,5,0,0,21
"169",50000,50,20000,2,300,2,943.909090909091,35,21
"170",50000,50,20000,2,300,3,1.54545454545455,0,21
"171",50000,50,20000,2,300,4,0,0,21
"172",50000,50,20000,2,300,5,0,0,21
"173",50000,50,20000,2,500,2,19.6363636363636,17,21
"174",50000,50,20000,2,500,3,1.27272727272727,0,21
"175",50000,50,20000,2,500,4,0,0,21
"176",50000,50,20000,2,500,5,0,0,21
"177",50000,50,20000,2,1000,2,1827.81818181818,15,21
"178",50000,50,20000,2,1000,3,0.363636363636364,0,21
"179",50000,50,20000,2,1000,4,0,0,21
"180",50000,50,20000,2,1000,5,0,0,21
"181",50000,50,20000,3,10,2,3580.81818181818,1272,21
"182",50000,50,20000,3,10,3,159,43,21
"183",50000,50,20000,3,10,4,8.54545454545454,10,21
"184",50000,50,20000,3,10,5,0.0909090909090909,0,21
"185",50000,50,20000,3,20,2,505.090909090909,511,21
"186",50000,50,20000,3,20,3,109,157,21
"187",50000,50,20000,3,20,4,2.45454545454545,2,21
"188",50000,50,20000,3,20,5,0.0909090909090909,0,21
"189",50000,50,20000,3,30,2,1238.09090909091,356,21
"190",50000,50,20000,3,30,3,73.0909090909091,110,21
"191",50000,50,20000,3,30,4,0.363636363636364,0,21
"192",50000,50,20000,3,30,5,0,0,21
"193",50000,50,20000,3,50,2,1095.63636363636,211,21
"194",50000,50,20000,3,50,3,49.2727272727273,62,21
"195",50000,50,20000,3,50,4,0,0,21
"196",50000,50,20000,3,50,5,0,0,21
"197",50000,50,20000,3,100,2,2817.72727272727,144,21
"198",50000,50,20000,3,100,3,14.3636363636364,1,21
"199",50000,50,20000,3,100,4,0,0,21
"200",50000,50,20000,3,100,5,0,0,21
"201",50000,50,20000,3,200,2,956.181818181818,54,21
"202",50000,50,20000,3,200,3,8.09090909090909,11,21
"203",50000,50,20000,3,200,4,0,0,21
"204",50000,50,20000,3,200,5,0,0,21
"205",50000,50,20000,3,300,2,943.909090909091,35,21
"206",50000,50,20000,3,300,3,10.6363636363636,11,21
"207",50000,50,20000,3,300,4,0,0,21
"208",50000,50,20000,3,300,5,0,0,21
"209",50000,50,20000,3,500,2,19.6363636363636,17,21
"210",50000,50,20000,3,500,3,3,1,21
"211",50000,50,20000,3,500,4,0,0,21
"212",50000,50,20000,3,500,5,0,0,21
"213",50000,50,20000,3,1000,2,1827.81818181818,15,21
"214",50000,50,20000,3,1000,3,1.36363636363636,0,21
"215",50000,50,20000,3,1000,4,0,0,21
"216",50000,50,20000,3,1000,5,0,0,21
"217",50000,100,10000,1,10,2,1152.45454545455,1086,21
"218",50000,100,10000,1,10,3,101.909090909091,43,21
"219",50000,100,10000,1,10,4,7.45454545454545,7,21
"220",50000,100,10000,1,10,5,0,0,21
"221",50000,100,10000,1,20,2,541.272727272727,514,21
"222",50000,100,10000,1,20,3,40.4545454545455,10,21
"223",50000,100,10000,1,20,4,1.27272727272727,1,21
"224",50000,100,10000,1,20,5,0,0,21
