# A tibble: 1,080 x 3
     lifem docsize mdmlosspct
     <int>   <int>      <dbl>
 544   100      50        0.0
 545   100      50        0.0
 546   100      50        0.0
 547   100      50        0.1
 548   100      50        0.1
 549   100      50        0.0
 550   100      50        0.1
 551   100      50        0.1
 552   100      50        0.0
 553   200      50        0.0
 554   200      50        0.0
 555   200      50        0.1
 556   200      50        0.2
 557   200      50        0.0
 558   200      50        0.0
 559   200      50        0.0
 560   200      50        0.0
 561   200      50        0.1
 562   200      50        0.1
 563   200      50        0.1
 564   200      50        0.0
 565   200      50        0.0
 566   200      50        0.0
 567   200      50        0.0
 568   200      50        0.0
 569   200      50        0.0
 570   200      50        0.0
 571   200      50        0.0
 572   200      50        0.0
 573   200      50        0.0
 574   200      50        0.0
 575   200      50        0.1
 576   200      50        0.0
 577   300      50        0.0
 578   300      50        0.0
 579   300      50        0.0
 580   300      50        0.1
 581   300      50        0.0
 582   300      50        0.0
 583   300      50        0.0
 584   300      50        0.0
 585   300      50        0.0
 586   300      50        0.0
 587   300      50        0.0
 588   300      50        0.0
 589   300      50        0.0
 590   300      50        0.0
 591   300      50        0.0
 592   300      50        0.0
 593   300      50        0.0
 594   300      50        0.0
 595   300      50        0.0
 596   300      50        0.0
 597   300      50        0.0
 598   300      50        0.0
 599   300      50        0.0
 600   300      50        0.0
 601   500      50        0.0
 602   500      50        0.0
 603   500      50        0.0
 604   500      50        0.0
 605   500      50        0.0
 606   500      50        0.0
 607   500      50        0.0
 608   500      50        0.0
 609   500      50        0.0
 610   500      50        0.0
 611   500      50        0.0
 612   500      50        0.0
 613   500      50        0.0
 614   500      50        0.0
 615   500      50        0.0
 616   500      50        0.0
 617   500      50        0.0
 618   500      50        0.0
 619   500      50        0.0
 620   500      50        0.0
 621   500      50        0.0
 622   500      50        0.0
 623   500      50        0.0
 624   500      50        0.0
 625  1000      50        0.0
 626  1000      50        0.0
 627  1000      50        0.0
 628  1000      50        0.0
 629  1000      50        0.0
 630  1000      50        0.0
 631  1000      50        0.0
 632  1000      50        0.0
 633  1000      50        0.0
 634  1000      50        0.0
 635  1000      50        0.0
 636  1000      50        0.0
 637  1000      50        0.0
 638  1000      50        0.0
 639  1000      50        0.0
 640  1000      50        0.0
 641  1000      50        0.0
 642  1000      50        0.0
 643  1000      50        0.0
 644  1000      50        0.0
 645  1000      50        0.0
 646  1000      50        0.0
 647  1000      50        0.0
 648  1000      50        0.0
 649    10      50        0.1
 650    10      50        0.1
 651    10      50        0.1
 652    10      50        0.2
 653    10      50        0.1
 654    10      50        0.1
 655    10      50        0.1
 656    10      50        0.1
 657    10      50        0.1
 658    10      50        0.1
 659    10      50        0.2
 660    10      50        0.1
 661    10      50        0.0
 662    10      50        0.1
 663    10      50        0.0
 664    10      50        0.0
 665    10      50        0.0
 666    10      50        0.0
 667    10      50        0.1
 668    10      50        0.1
 669    10      50        0.1
 670    10      50        0.1
 671    10      50        0.1
 672    10      50        0.1
 673    20      50        0.0
 674    20      50        0.0
 675    20      50        0.0
 676    20      50        0.0
 677    20      50        0.0
 678    20      50        0.0
 679    20      50        0.0
 680    20      50        0.0
 681    20      50        0.0
 682    20      50        0.0
