shocktest01 ShockTest HL copies=var Audit=yr Glitch=0 Shock=var lifem=var seed21 
(test of summ-shock.r) 

Input data from  ../hl/data/GiantOutput_test_cvar_lifvar_shvar_af10000s1_01.txt 
Output analysis into  ../hl/tabs/shocktest_Giant_AuditYr_copvar_shockvar_glitch0_lifvar-seed21_analysis_20170317_01.txt 

analysis tables by  ./ShelfAnalyze.r 
and summarize script ./summ-shock.r 
 at  20170316_232151 EDT 

Summary losses (midmeans)
   shockfreq impact span maxlife lifem    c1   c2    c3     c4   c5 c8
16     20000    100    1   10000   300 10000 5028   0.0  0.0 0.0  0
17     20000    100    1   10000   500 10000 5020   0.0  0.0 0.0  0
18     20000    100    1   10000  1000 10000 5008   0.0  0.0 0.0  0
19     20000    100    3   10000    10 10000 5855   0.0  0.0 0.0  0
20     20000    100    3   10000    20 10000 5435   0.0  0.0 0.0  0
21     20000    100    3   10000    30 10000 5279   0.0  0.0 0.0  0
22     20000    100    3   10000    50 10000 5172   0.0  0.0 0.0  0
23     20000    100    3   10000   100 10000 5090   0.0  0.0 0.0  0
24     20000    100    3   10000   200 10000 5038   0.0  0.0 0.0  0
25     20000    100    3   10000   300 10000 5028   0.0  0.0 0.0  0
26     20000    100    3   10000   500 10000 5020   0.0  0.0 0.0  0
27     20000    100    3   10000  1000 10000 5008   0.0  0.0 0.0  0
28     30000     50    3   10000    10 10000 3389 301.5 13.5 3.5  0
29     30000     50    3   10000    20 10000 2877 226.0  2.0 0.0  0
30     30000     50    3   10000    30 10000 2736  91.0  2.0 0.0  0
31     30000     50    3   10000    50 10000  238  49.8  0.2 0.0  0
32     30000     50    3   10000   100 10000  118  46.2  0.0 0.0  0
33     30000     50    3   10000   200 10000   52  11.0  0.0 0.0  0
34     30000     50    3   10000   300 10000 2525  11.8  0.0 0.0  0
35     30000     50    3   10000   500 10000 2514   4.2  0.0 0.0  0
36     30000     50    3   10000  1000 10000 2509   4.5  0.0 0.0  0
37     50000     50    3   20000    10 10000 3327 126.5  8.8 0.2  0
38     50000     50    3   20000    20 10000  552 125.2  2.2 0.2  0
39     50000     50    3   20000    30 10000 2740  85.0  0.2 0.0  0
40     50000     50    3   20000    50 10000 2641  50.2  0.0 0.0  0
41     50000     50    3   20000   100 10000 2596   9.8  0.0 0.0  0
42     50000     50    3   20000   200 10000 2535  10.0  0.0 0.0  0
43     50000     50    3   20000   300 10000 2524   9.5  0.0 0.0  0
44     50000     50    3   20000   500 10000   22   3.0  0.0 0.0  0
45     50000     50    3   20000  1000 10000 2509   1.0  0.0 0.0  0
46    100000    100    3   10000    10 10000  846  70.9  8.5 0.0  0
47    100000    100    3   10000    20 10000  413  26.8  1.8 0.0  0
48    100000    100    3   10000    30 10000  277  17.0  0.9 0.0  0
49    100000    100    3   10000    50 10000  161   8.9  0.1 0.0  0
50    100000    100    3   10000   100 10000   84   3.0  0.0 0.0  0
51    100000    100    3   10000   200 10000   42   1.4  0.0 0.0  0
52    100000    100    3   10000   300 10000   27   1.2  0.0 0.0  0
53    100000    100    3   10000   500 10000   20   0.8  0.0 0.0  0
54    100000    100    3   10000  1000 10000    8   0.6  0.0 0.0  0


