timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150619_173047 5 10 1 30 100000 105731136 156 10000 9844 0 0 156 0 0 0 0 0 0 0 0 100 0 0 0 4.174 2.074 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed105731136.log 85809 q3-extractinstructions.txt 20150619_173057 0.5 5582f9ea776839292835fa62
20150619_173049 5 10 1 30 100000 967561224 162 10000 9838 0 0 162 0 0 0 0 0 0 0 0 100 0 0 0 4.169 2.105 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed967561224.log 88714 q3-extractinstructions.txt 20150619_173059 0.5 5582f9ea776839292835fa63
20150619_173051 5 10 1 30 100000 420477893 162 10000 9838 0 0 162 0 0 0 0 0 0 0 0 100 0 0 0 4.202 2.121 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed420477893.log 88759 q3-extractinstructions.txt 20150619_173101 0.5 5582f9ea776839292835fa64
20150619_173053 5 10 1 30 100000 263688301 154 10000 9846 0 0 154 0 0 0 0 0 0 0 0 100 0 0 0 4.070 2.107 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed263688301.log 85012 q3-extractinstructions.txt 20150619_173103 0.5 5582f9ea776839292835fa65
20150619_173055 5 10 1 30 100000 50746969 194 10000 9806 0 0 194 0 0 0 0 0 0 0 0 100 0 0 0 4.355 2.231 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed50746969.log 104387 q3-extractinstructions.txt 20150619_173106 0.5 5582f9ea776839292835fa66
20150619_173057 5 10 1 30 100000 533657980 154 10000 9846 0 0 154 0 0 0 0 0 0 0 0 100 0 0 0 4.285 2.231 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed533657980.log 84820 q3-extractinstructions.txt 20150619_173108 0.5 5582f9ea776839292835fa67
20150619_173100 5 10 1 30 100000 711283608 174 10000 9826 0 0 174 0 0 0 0 0 0 0 0 100 0 0 0 4.343 2.122 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed711283608.log 94784 q3-extractinstructions.txt 20150619_173110 0.5 5582f9ea776839292835fa68
20150619_173102 5 10 1 30 100000 597296547 178 10000 9822 0 0 178 0 0 0 0 0 0 0 0 100 0 0 0 4.298 2.122 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed597296547.log 96381 q3-extractinstructions.txt 20150619_173112 0.5 5582f9ea776839292835fa69
20150619_173104 5 10 1 30 100000 664375964 170 10000 9830 0 0 170 0 0 0 0 0 0 0 0 100 0 0 0 4.342 2.293 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed664375964.log 92651 q3-extractinstructions.txt 20150619_173115 0.5 5582f9ea776839292835fa6a
20150619_173106 5 10 1 30 100000 258760793 169 10000 9831 0 0 169 0 0 0 0 0 0 0 0 100 0 0 0 4.262 2.184 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed258760793.log 92347 q3-extractinstructions.txt 20150619_173117 0.5 5582f9ea776839292835fa6b
20150619_173108 5 10 1 30 100000 666549275 149 10000 9851 0 0 149 0 0 0 0 0 0 0 0 100 0 0 0 4.300 2.231 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed666549275.log 82599 q3-extractinstructions.txt 20150619_173119 0.5 5582f9ea776839292835fa6c
20150619_173110 5 10 1 30 100000 376517787 145 10000 9855 0 0 145 0 0 0 0 0 0 0 0 100 0 0 0 4.264 2.152 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed376517787.log 80581 q3-extractinstructions.txt 20150619_173121 0.5 5582f9ea776839292835fa6d
20150619_173113 5 10 1 30 100000 817713633 152 10000 9848 0 0 152 0 0 0 0 0 0 0 0 100 0 0 0 4.450 2.325 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed817713633.log 83473 q3-extractinstructions.txt 20150619_173123 0.5 5582f9ea776839292835fa6e
20150619_173115 5 10 1 30 100000 519606501 160 10000 9840 0 0 160 0 0 0 0 0 0 0 0 100 0 0 0 4.432 2.278 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed519606501.log 87933 q3-extractinstructions.txt 20150619_173125 0.5 5582f9ea776839292835fa6f
