timestamp docsize copies lifem seed lost auditrepairs auditlosses forensics walltime cputime
20140725_111303 50 5 3 967561224 8 69722 35 2702 168.296 137.405
20140725_111623 50 8 3 103765041 0 111388 0 262 291.202 225.983
20140725_111913 50 8 3 105731136 0 111234 0 270 282.693 224.703
20140725_111859 50 8 3 117661523 0 110605 0 276 519.480 239.258
20140725_111734 50 8 3 141246882 0 111156 0 267 243.384 219.088
20140725_112439 50 8 3 263688301 0 111128 0 265 464.663 236.154
20140725_112143 50 8 3 420477893 0 111204 0 274 256.237 225.187
20140725_112533 50 8 3 50746969 0 110760 0 280 256.173 219.509
20140725_112604 50 8 3 533657980 0 110977 0 295 541.577 241.801
20140725_111752 50 8 3 681028781 0 111167 0 266 549.806 234.532
20140725_111609 50 8 3 919028296 0 111014 0 292 536.953 241.958
20140725_112127 50 8 3 967561224 0 111641 0 306 244.763 219.837
20140725_112745 50 10 3 103765041 0 139168 0 106 672.312 323.109
20140725_113433 50 10 3 105731136 0 139583 0 127 770.483 353.358
20140725_113250 50 10 3 117661523 0 139164 0 133 632.173 300.77
20140725_112747 50 10 3 141246882 0 139076 0 132 347.143 294.888
20140725_113913 50 10 3 263688301 0 139546 0 140 500.352 340.675
20140725_113526 50 10 3 420477893 0 139258 0 117 306.215 280.333
20140725_114053 50 10 3 50746969 0 139464 0 115 310.599 285.716
20140725_114114 50 10 3 533657980 0 138642 0 111 393.773 285.279
20140725_113033 50 10 3 681028781 0 139360 0 136 608.431 319.24
20140725_112653 50 10 3 919028296 0 139736 0 120 408.206 308.585
20140725_113417 50 10 3 967561224 0 139900 0 152 571.494 280.926
20140725_102144 50 1 5 103765041 6273 0 5933 0 14.642 13.323
20140725_102209 50 1 5 105731136 6388 0 6004 0 14.699 13.494
20140725_102204 50 1 5 117661523 6274 0 5933 0 14.624 13.354
20140725_102150 50 1 5 141246882 6283 0 5907 0 14.629 13.323
20140725_102226 50 1 5 263688301 6369 0 6014 0 14.615 13.494
20140725_102219 50 1 5 420477893 6331 0 5964 0 14.703 13.494
20140725_102231 50 1 5 50746969 6336 0 5952 0 14.653 13.447
20140725_102236 50 1 5 533657980 6332 0 5953 0 14.740 13.603
20140725_102156 50 1 5 681028781 6317 0 5917 0 14.653 13.369
20140725_102137 50 1 5 919028296 6322 0 5947 0 14.592 13.463
20140725_102214 50 1 5 967561224 6347 0 5983 0 14.644 13.401
20140725_102247 50 2 5 103765041 899 15024 1656 0 34.308 31.7
20140725_102322 50 2 5 105731136 832 15149 1535 0 34.909 32.042
20140725_102314 50 2 5 117661523 873 14862 1612 0 37.699 31.621
