timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime
20141130_153330 50 10 2 100000 141246882 0 10000 0 10000 954 0 8 10000 1 197247 81599 943 0 745.539 533.227
20141130_154633 50 10 2 100000 263688301 0 10000 0 10000 976 0 8 10000 1 197790 81629 943 0 752.803 552.368
20141130_154620 50 10 2 100000 420477893 1 10000 0 10000 967 1 8 10000 1 198248 81485 921 0 755.475 527.548
20141130_155837 50 10 2 100000 50746969 0 10000 0 10000 955 0 8 10000 1 198148 81382 947 0 633.088 504.398
20141130_155907 50 10 2 100000 533657980 0 10000 0 10000 954 0 8 10000 1 197495 81629 918 0 691.778 505.756
20141130_153504 50 10 2 100000 681028781 0 10000 0 10000 955 0 8 10000 1 197677 81737 923 0 651.598 492.729
20141130_153226 50 10 2 100000 919028296 0 10000 0 10000 943 0 8 10000 1 197979 81558 909 0 805.482 529.717
20141130_154609 50 10 2 100000 967561224 0 10000 0 10000 1027 0 8 10000 1 198165 81486 1016 0 773.848 522.089
20141128_151036 50 14 2 100000 103765041 0 10000 0 10000 423 0 8 10000 1 276723 86781 409 0 843.965 717.714
20141128_152459 50 14 2 100000 105731136 0 10000 0 10000 459 0 8 10000 1 278152 86786 452 0 816.762 719.834
20141128_151124 50 14 2 100000 117661523 0 10000 0 10000 415 0 8 10000 1 276753 86754 395 0 1591.572 713.282
20141128_151047 50 14 2 100000 141246882 0 10000 0 10000 402 0 8 10000 1 276709 86808 391 0 1199.496 693.456
20141128_153154 50 14 2 100000 263688301 0 10000 0 10000 389 0 8 10000 1 277334 86852 375 0 1040.329 691.865
20141128_153058 50 14 2 100000 420477893 0 10000 0 10000 457 0 8 10000 1 276090 86736 436 0 1100.438 699.805
20141128_153803 50 14 2 100000 50746969 0 10000 0 10000 440 0 8 10000 1 275961 86701 417 0 982.098 718.259
20141128_153840 50 14 2 100000 533657980 0 10000 0 10000 421 0 8 10000 1 276132 86884 410 0 948.825 711.114
20141128_151054 50 14 2 100000 681028781 0 10000 0 10000 420 0 8 10000 1 276011 86787 408 0 830.169 718.369
20141128_151029 50 14 2 100000 919028296 0 10000 0 10000 419 0 8 10000 1 276996 86749 406 0 1239.293 775.496
20141128_152511 50 14 2 100000 967561224 0 10000 0 10000 398 0 8 10000 1 276936 86752 396 0 788.539 689.4
20141128_154933 50 16 2 100000 103765041 0 10000 0 10000 289 0 8 10000 1 315157 87970 277 0 880.636 805.091
20141128_160425 50 16 2 100000 105731136 0 10000 0 10000 301 0 8 10000 1 316264 87961 294 0 1567.754 825.993
20141128_155513 50 16 2 100000 117661523 0 10000 0 10000 293 0 8 10000 1 316260 87983 293 0 1448.028 827.991
20141128_154939 50 16 2 100000 141246882 0 10000 0 10000 288 0 8 10000 1 314913 88020 270 0 876.566 801.423
20141128_161824 50 16 2 100000 263688301 0 10000 0 10000 284 0 8 10000 1 315589 87928 274 0 992.054 847.413
20141128_160442 50 16 2 100000 420477893 0 10000 0 10000 290 0 8 10000 1 316076 88081 283 0 1088.793 824.762
20141128_161931 50 16 2 100000 50746969 0 10000 0 10000 279 0 8 10000 1 316857 88040 270 0 932.261 826.181
20141128_161941 50 16 2 100000 533657980 0 10000 0 10000 303 0 8 10000 1 315607 87964 291 0 1433.851 807.929
20141128_155439 50 16 2 100000 681028781 0 10000 0 10000 274 0 8 10000 1 315611 87908 273 0 1414.384 848.412
20141128_153901 50 16 2 100000 919028296 0 10000 0 10000 295 0 8 10000 1 316192 87981 285 0 1508.071 814.512
20141128_160429 50 16 2 100000 967561224 0 10000 0 10000 266 0 8 10000 1 315529 88039 257 0 898.599 809.177
20141128_163103 50 20 2 100000 103765041 0 10000 0 10000 115 0 8 10000 1 394032 89195 113 0 1955.110 1041.385
20141128_164423 50 20 2 100000 105731136 0 10000 0 10000 108 0 8 10000 1 394421 89191 106 0 1225.254 1058.935
20141128_164347 50 20 2 100000 117661523 0 10000 0 10000 140 0 8 10000 1 393548 89182 131 0 2006.433 1048.982
20141128_163510 50 20 2 100000 141246882 0 10000 0 10000 115 0 8 10000 1 393197 89212 112 0 1226.659 1019.265
20141128_165618 50 20 2 100000 420477893 0 10000 0 10000 123 0 8 10000 1 393275 89207 123 0 1470.041 1060.948
20141128_170520 50 20 2 100000 50746969 0 10000 0 10000 113 0 8 10000 1 393649 89227 112 0 1179.942 1044.551
20141128_171722 50 20 2 100000 533657980 0 10000 0 10000 150 0 8 10000 1 393937 89180 150 0 1000.456 960.794
20141128_163525 50 20 2 100000 681028781 0 10000 0 10000 110 0 8 10000 1 392895 89211 110 0 1236.317 1031.292
20141128_162308 50 20 2 100000 919028296 0 10000 0 10000 143 0 8 10000 1 393537 89160 140 0 1251.829 1091.492
20141128_165546 50 20 2 100000 967561224 0 10000 0 10000 131 0 8 10000 1 393188 89191 127 0 1451.598 1062.741
