family specific logdir docsize berid copies logfilename timestamp lost
q0 v2d5 logb0001 5 0001 05 c05b0001s103765041.log 20140615_004503 104
q0 v2d5 logb0001 5 0001 05 c05b0001s105731136.log 20140615_004907 113
q0 v2d5 logb0001 5 0001 05 c05b0001s117661523.log 20140615_004927 100
q0 v2d5 logb0001 5 0001 05 c05b0001s141246882.log 20140615_004622 101
q0 v2d5 logb0001 5 0001 05 c05b0001s263688301.log 20140615_005244 108
q0 v2d5 logb0001 5 0001 05 c05b0001s420477893.log 20140615_005234 104
q0 v2d5 logb0001 5 0001 05 c05b0001s50746969.log 20140615_005424 134
q0 v2d5 logb0001 5 0001 05 c05b0001s533657980.log 20140615_005438 108
q0 v2d5 logb0001 5 0001 05 c05b0001s681028781.log 20140615_004933 102
q0 v2d5 logb0001 5 0001 05 c05b0001s919028296.log 20140615_004331 106
q0 v2d5 logb0001 5 0001 05 c05b0001s967561224.log 20140615_005119 93
q0 v2d5 logb0001 5 0001 08 c08b0001s103765041.log 20140615_080124 8
q0 v2d5 logb0001 5 0001 08 c08b0001s105731136.log 20140615_080156 9
q0 v2d5 logb0001 5 0001 08 c08b0001s117661523.log 20140615_080059 10
q0 v2d5 logb0001 5 0001 08 c08b0001s141246882.log 20140615_080046 12
q0 v2d5 logb0001 5 0001 08 c08b0001s263688301.log 20140615_080948 7
q0 v2d5 logb0001 5 0001 08 c08b0001s420477893.log 20140615_080922 8
q0 v2d5 logb0001 5 0001 08 c08b0001s50746969.log 20140615_081009 7
q0 v2d5 logb0001 5 0001 08 c08b0001s533657980.log 20140615_081012 7
q0 v2d5 logb0001 5 0001 08 c08b0001s681028781.log 20140615_080135 4
q0 v2d5 logb0001 5 0001 08 c08b0001s919028296.log 20140615_080028 6
q0 v2d5 logb0001 5 0001 08 c08b0001s967561224.log 20140615_080920 10
q0 v2d5 logb0001 5 0001 10 c10b0001s103765041.log 20140615_081915 2
q0 v2d5 logb0001 5 0001 10 c10b0001s105731136.log 20140615_082857 0
q0 v2d5 logb0001 5 0001 10 c10b0001s117661523.log 20140615_082834 1
q0 v2d5 logb0001 5 0001 10 c10b0001s141246882.log 20140615_081944 2
q0 v2d5 logb0001 5 0001 10 c10b0001s263688301.log 20140615_083731 1
q0 v2d5 logb0001 5 0001 10 c10b0001s420477893.log 20140615_082919 2
q0 v2d5 logb0001 5 0001 10 c10b0001s50746969.log 20140615_083757 2
q0 v2d5 logb0001 5 0001 10 c10b0001s533657980.log 20140615_083749 0
q0 v2d5 logb0001 5 0001 10 c10b0001s681028781.log 20140615_081941 0
q0 v2d5 logb0001 5 0001 10 c10b0001s919028296.log 20140615_081857 0
q0 v2d5 logb0001 5 0001 10 c10b0001s967561224.log 20140615_082904 2
q0 v2d5 logb0001 5 0001 14 c14b0001s103765041.log 20140616_183018 0
q0 v2d5 logb0001 5 0001 14 c14b0001s105731136.log 20140616_183115 0
q0 v2d5 logb0001 5 0001 14 c14b0001s117661523.log 20140616_183232 0
q0 v2d5 logb0001 5 0001 14 c14b0001s141246882.log 20140616_183221 0
q0 v2d5 logb0001 5 0001 14 c14b0001s263688301.log 20140616_184713 0
q0 v2d5 logb0001 5 0001 14 c14b0001s420477893.log 20140616_184555 0
q0 v2d5 logb0001 5 0001 14 c14b0001s50746969.log 20140616_184644 0
q0 v2d5 logb0001 5 0001 14 c14b0001s533657980.log 20140616_184801 0
q0 v2d5 logb0001 5 0001 14 c14b0001s681028781.log 20140616_183059 0
q0 v2d5 logb0001 5 0001 14 c14b0001s919028296.log 20140616_182939 0
q0 v2d5 logb0001 5 0001 14 c14b0001s967561224.log 20140616_184619 0
q0 v2d5 logb0002 5 0002 01 c01b0002s103765041.log 20140615_184320 2148
