family specific logfilename docsize berid copies lost
../q1 v3d50 logb0002/c04b0002s141246882.log:20140716_011641 50 0002 04 222
../q1 v3d50 logb0002/c04b0002s263688301.log:20140716_012127 50 0002 04 221
../q1 v3d50 logb0002/c04b0002s420477893.log:20140716_011955 50 0002 04 224
../q1 v3d50 logb0002/c04b0002s50746969.log:20140716_012048 50 0002 04 215
../q1 v3d50 logb0002/c04b0002s533657980.log:20140716_012202 50 0002 04 235
../q1 v3d50 logb0002/c04b0002s681028781.log:20140716_011811 50 0002 04 220
../q1 v3d50 logb0002/c04b0002s919028296.log:20140716_011643 50 0002 04 221
../q1 v3d50 logb0002/c04b0002s967561224.log:20140716_011957 50 0002 04 235
../q1 v3d50 logb0002/c05b0002s103765041.log:20140716_012514 50 0002 05 31
../q1 v3d50 logb0002/c05b0002s105731136.log:20140716_012816 50 0002 05 51
../q1 v3d50 logb0002/c05b0002s117661523.log:20140716_012507 50 0002 05 47
../q1 v3d50 logb0002/c05b0002s141246882.log:20140716_012340 50 0002 05 46
../q1 v3d50 logb0002/c05b0002s263688301.log:20140716_012826 50 0002 05 47
../q1 v3d50 logb0002/c05b0002s420477893.log:20140716_012926 50 0002 05 50
../q1 v3d50 logb0002/c05b0002s50746969.log:20140716_012941 50 0002 05 45
../q1 v3d50 logb0002/c05b0002s533657980.log:20140716_013121 50 0002 05 47
../q1 v3d50 logb0002/c05b0002s681028781.log:20140716_012621 50 0002 05 35
../q1 v3d50 logb0002/c05b0002s919028296.log:20140716_012407 50 0002 05 56
../q1 v3d50 logb0002/c05b0002s967561224.log:20140716_012715 50 0002 05 55
../q1 v3d50 logb0002/c08b0002s103765041.log:20140716_172431 50 0002 08 0
../q1 v3d50 logb0002/c08b0002s105731136.log:20140716_172510 50 0002 08 1
../q1 v3d50 logb0002/c08b0002s117661523.log:20140716_172954 50 0002 08 1
../q1 v3d50 logb0002/c08b0002s141246882.log:20140716_172956 50 0002 08 0
../q1 v3d50 logb0002/c08b0002s263688301.log:20140716_173049 50 0002 08 0
../q1 v3d50 logb0002/c08b0002s420477893.log:20140716_173020 50 0002 08 0
../q1 v3d50 logb0002/c08b0002s50746969.log:20140716_173503 50 0002 08 0
../q1 v3d50 logb0002/c08b0002s533657980.log:20140716_173516 50 0002 08 0
../q1 v3d50 logb0002/c08b0002s681028781.log:20140716_172436 50 0002 08 0
../q1 v3d50 logb0002/c08b0002s919028296.log:20140716_172955 50 0002 08 0
../q1 v3d50 logb0002/c08b0002s967561224.log:20140716_173227 50 0002 08 0
../q1 v3d50 logb0002/c10b0002s103765041.log:20140716_174552 50 0002 10 0
../q1 v3d50 logb0002/c10b0002s105731136.log:20140716_174642 50 0002 10 0
../q1 v3d50 logb0002/c10b0002s117661523.log:20140716_174214 50 0002 10 0
../q1 v3d50 logb0002/c10b0002s141246882.log:20140716_174725 50 0002 10 0
../q1 v3d50 logb0002/c10b0002s263688301.log:20140716_175406 50 0002 10 0
../q1 v3d50 logb0002/c10b0002s420477893.log:20140716_175207 50 0002 10 0
../q1 v3d50 logb0002/c10b0002s50746969.log:20140716_175445 50 0002 10 0
../q1 v3d50 logb0002/c10b0002s533657980.log:20140716_175425 50 0002 10 0
../q1 v3d50 logb0002/c10b0002s681028781.log:20140716_174403 50 0002 10 0
../q1 v3d50 logb0002/c10b0002s919028296.log:20140716_174642 50 0002 10 0
../q1 v3d50 logb0002/c10b0002s967561224.log:20140716_174934 50 0002 10 0
../q1 v3d50 logb0003/c01b0003s103765041.log:20140716_002228 50 0003 01 8104
../q1 v3d50 logb0003/c01b0003s105731136.log:20140716_002251 50 0003 01 8146
../q1 v3d50 logb0003/c01b0003s117661523.log:20140716_002244 50 0003 01 8062
../q1 v3d50 logb0003/c01b0003s141246882.log:20140716_002234 50 0003 01 8123
../q1 v3d50 logb0003/c01b0003s263688301.log:20140716_002306 50 0003 01 8140
../q1 v3d50 logb0003/c01b0003s420477893.log:20140716_002301 50 0003 01 8116
../q1 v3d50 logb0003/c01b0003s50746969.log:20140716_002312 50 0003 01 8138
../q1 v3d50 logb0003/c01b0003s533657980.log:20140716_002317 50 0003 01 8126
../q1 v3d50 logb0003/c01b0003s681028781.log:20140716_002239 50 0003 01 8160
../q1 v3d50 logb0003/c01b0003s919028296.log:20140716_002222 50 0003 01 8107
../q1 v3d50 logb0003/c01b0003s967561224.log:20140716_002256 50 0003 01 8160
../q1 v3d50 logb0003/c02b0003s103765041.log:20140716_002353 50 0003 02 2186
../q1 v3d50 logb0003/c02b0003s105731136.log:20140716_002438 50 0003 02 2172
../q1 v3d50 logb0003/c02b0003s117661523.log:20140716_002431 50 0003 02 2121
../q1 v3d50 logb0003/c02b0003s141246882.log:20140716_002359 50 0003 02 2140
../q1 v3d50 logb0003/c02b0003s263688301.log:20140716_002515 50 0003 02 2095
../q1 v3d50 logb0003/c02b0003s420477893.log:20140716_002451 50 0003 02 2136
../q1 v3d50 logb0003/c02b0003s50746969.log:20140716_002522 50 0003 02 2086
../q1 v3d50 logb0003/c02b0003s533657980.log:20140716_002530 50 0003 02 2127
../q1 v3d50 logb0003/c02b0003s681028781.log:20140716_002405 50 0003 02 2155
../q1 v3d50 logb0003/c02b0003s919028296.log:20140716_002347 50 0003 02 2187
