timestamp docsize copies lifem seed lost auditinterval auditrepairs auditlosses auditforensics ndocs nokay nmajority nminority walltime cputime logfilename
20140809_131952 50 2 2 263688301 8493 0 0 0 0 10000 65 1442 0 67.845 58.36 ../Q0b/v4d50/logb0002/c02d50b0002s263688301.log
20140809_131939 50 2 2 420477893 8396 0 0 0 0 10000 75 1529 0 61.684 55.693 ../Q0b/v4d50/logb0002/c02d50b0002s420477893.log
20140809_132006 50 2 2 50746969 8424 0 0 0 0 10000 65 1511 0 68.166 57.955 ../Q0b/v4d50/logb0002/c02d50b0002s50746969.log
20140809_132012 50 2 2 533657980 8393 0 0 0 0 10000 73 1534 0 70.449 55.333 ../Q0b/v4d50/logb0002/c02d50b0002s533657980.log
20140809_131821 50 2 2 681028781 8474 0 0 0 0 10000 54 1472 0 76.668 61.215 ../Q0b/v4d50/logb0002/c02d50b0002s681028781.log
20140809_131756 50 2 2 919028296 8401 0 0 0 0 10000 71 1528 0 75.626 55.848 ../Q0b/v4d50/logb0002/c02d50b0002s919028296.log
20140809_131920 50 2 2 967561224 8448 0 0 0 0 10000 65 1487 0 63.845 56.785 ../Q0b/v4d50/logb0002/c02d50b0002s967561224.log
20140809_132037 50 3 2 103765041 7730 0 0 0 0 10000 4 178 2088 134.844 84.677 ../Q0b/v4d50/logb0002/c03d50b0002s103765041.log
20140809_132201 50 3 2 105731136 7722 0 0 0 0 10000 10 180 2088 117.249 84.63 ../Q0b/v4d50/logb0002/c03d50b0002s105731136.log
20140809_132135 50 3 2 117661523 7724 0 0 0 0 10000 3 222 2051 124.588 83.928 ../Q0b/v4d50/logb0002/c03d50b0002s117661523.log
20140809_132103 50 3 2 141246882 7688 0 0 0 0 10000 5 204 2103 95.699 82.649 ../Q0b/v4d50/logb0002/c03d50b0002s141246882.log
20140809_132337 50 3 2 263688301 7723 0 0 0 0 10000 7 184 2086 92.268 82.946 ../Q0b/v4d50/logb0002/c03d50b0002s263688301.log
20140809_132312 50 3 2 420477893 7751 0 0 0 0 10000 8 181 2060 93.162 85.348 ../Q0b/v4d50/logb0002/c03d50b0002s420477893.log
20140809_132351 50 3 2 50746969 7745 0 0 0 0 10000 6 191 2058 107.967 91.541 ../Q0b/v4d50/logb0002/c03d50b0002s50746969.log
20140809_132358 50 3 2 533657980 7683 0 0 0 0 10000 4 183 2130 119.220 85.442 ../Q0b/v4d50/logb0002/c03d50b0002s533657980.log
20140809_132120 50 3 2 681028781 7729 0 0 0 0 10000 4 191 2076 102.497 93.835 ../Q0b/v4d50/logb0002/c03d50b0002s681028781.log
20140809_132041 50 3 2 919028296 7740 0 0 0 0 10000 8 194 2058 137.166 86.16 ../Q0b/v4d50/logb0002/c03d50b0002s919028296.log
20140809_132304 50 3 2 967561224 7688 0 0 0 0 10000 5 187 2120 113.293 86.237 ../Q0b/v4d50/logb0002/c03d50b0002s967561224.log
20140809_132511 50 4 2 103765041 7108 0 0 0 0 10000 1 374 2517 118.990 111.275 ../Q0b/v4d50/logb0002/c04d50b0002s103765041.log
20140809_132631 50 4 2 105731136 7082 0 0 0 0 10000 0 370 2548 166.571 112.461 ../Q0b/v4d50/logb0002/c04d50b0002s105731136.log
20140809_132608 50 4 2 117661523 7094 0 0 0 0 10000 0 348 2558 183.249 111.073 ../Q0b/v4d50/logb0002/c04d50b0002s117661523.log
20140809_132525 50 4 2 141246882 7113 0 0 0 0 10000 1 372 2514 175.988 115.627 ../Q0b/v4d50/logb0002/c04d50b0002s141246882.log
20140809_132826 50 4 2 263688301 7113 0 0 0 0 10000 0 347 2540 173.465 120.168 ../Q0b/v4d50/logb0002/c04d50b0002s263688301.log
20140809_132746 50 4 2 420477893 7143 0 0 0 0 10000 1 356 2500 171.776 117.656 ../Q0b/v4d50/logb0002/c04d50b0002s420477893.log
20140809_132836 50 4 2 50746969 7074 0 0 0 0 10000 2 338 2586 127.679 111.151 ../Q0b/v4d50/logb0002/c04d50b0002s50746969.log
20140809_132934 50 4 2 533657980 7126 0 0 0 0 10000 1 354 2519 133.279 111.322 ../Q0b/v4d50/logb0002/c04d50b0002s533657980.log
20140809_132551 50 4 2 681028781 7032 0 0 0 0 10000 0 364 2604 127.716 111.603 ../Q0b/v4d50/logb0002/c04d50b0002s681028781.log
20140809_132443 50 4 2 919028296 7099 0 0 0 0 10000 0 373 2528 146.014 120.261 ../Q0b/v4d50/logb0002/c04d50b0002s919028296.log
20140809_132731 50 4 2 967561224 7110 0 0 0 0 10000 0 383 2507 129.046 111.79 ../Q0b/v4d50/logb0002/c04d50b0002s967561224.log
20140809_133008 50 5 2 103765041 6560 0 0 0 0 10000 0 50 3390 212.858 139.137 ../Q0b/v4d50/logb0002/c05d50b0002s103765041.log
20140809_133214 50 5 2 105731136 6560 0 0 0 0 10000 0 51 3389 234.458 146.345 ../Q0b/v4d50/logb0002/c05d50b0002s105731136.log
20140809_133138 50 5 2 117661523 6429 0 0 0 0 10000 0 58 3513 161.270 138.81 ../Q0b/v4d50/logb0002/c05d50b0002s117661523.log
20140809_133058 50 5 2 141246882 6520 0 0 0 0 10000 0 54 3426 180.260 137.997 ../Q0b/v4d50/logb0002/c05d50b0002s141246882.log
20140809_133431 50 5 2 263688301 6571 0 0 0 0 10000 0 47 3382 207.284 139.699 ../Q0b/v4d50/logb0002/c05d50b0002s263688301.log
20140809_133416 50 5 2 420477893 6549 0 0 0 0 10000 0 37 3414 182.918 157.654 ../Q0b/v4d50/logb0002/c05d50b0002s420477893.log
20140809_133440 50 5 2 50746969 6498 0 0 0 0 10000 0 53 3449 237.021 139.527 ../Q0b/v4d50/logb0002/c05d50b0002s50746969.log
20140809_133514 50 5 2 533657980 6578 0 0 0 0 10000 0 42 3380 171.469 137.609 ../Q0b/v4d50/logb0002/c05d50b0002s533657980.log
20140809_133114 50 5 2 681028781 6518 0 0 0 0 10000 0 36 3446 212.152 139.48 ../Q0b/v4d50/logb0002/c05d50b0002s681028781.log
20140809_133000 50 5 2 919028296 6516 0 0 0 0 10000 0 42 3442 235.206 152.741 ../Q0b/v4d50/logb0002/c05d50b0002s919028296.log
20140809_133348 50 5 2 967561224 6559 0 0 0 0 10000 0 41 3400 154.788 139.372 ../Q0b/v4d50/logb0002/c05d50b0002s967561224.log
20140809_133701 50 8 2 103765041 5038 0 0 0 0 10000 0 19 4943 356.827 252.94 ../Q0b/v4d50/logb0002/c08d50b0002s103765041.log
20140809_133857 50 8 2 105731136 4969 0 0 0 0 10000 0 33 4998 317.783 223.533 ../Q0b/v4d50/logb0002/c08d50b0002s105731136.log
